feature,mean_importance
78_CatBoost_SelectedFeatures_prediction_No_Failure,4.09057427536122e-05
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction_Tool_Wear_Failure,4.286114383596634e-05
53_NeuralNetwork_prediction_Overstrain_Failure,4.540791087385421e-05
57_NeuralNetwork_SelectedFeatures_prediction_Power_Failure,4.854454730824076e-05
55_NeuralNetwork_prediction_Tool_Wear_Failure,4.874132942913612e-05
48_ExtraTrees_prediction_Overstrain_Failure,4.891347035429761e-05
41_RandomForest_prediction_No_Failure,5.970427729131977e-05
28_CatBoost_prediction_Power_Failure,6.209070777149356e-05
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_No_Failure,6.257518708775306e-05
49_ExtraTrees_prediction_Overstrain_Failure,6.290887004891388e-05
43_ExtraTrees_prediction_Tool_Wear_Failure,6.328234344279704e-05
31_CatBoost_SelectedFeatures_prediction_Overstrain_Failure,6.546475148027641e-05
4_Default_NeuralNetwork_prediction_Heat_Dissipation_Failure,6.587993680002846e-05
48_ExtraTrees_prediction_Heat_Dissipation_Failure,6.98612900339679e-05
46_ExtraTrees_prediction_Heat_Dissipation_Failure,7.567842304612716e-05
51_ExtraTrees_prediction_No_Failure,8.078297657397871e-05
59_NeuralNetwork_prediction_No_Failure,8.168401466294439e-05
39_RandomForest_SelectedFeatures_prediction_No_Failure,8.30223035076627e-05
53_NeuralNetwork_prediction_Heat_Dissipation_Failure,8.302311025141506e-05
40_RandomForest_prediction_Tool_Wear_Failure,8.638304992553552e-05
53_NeuralNetwork_prediction_Tool_Wear_Failure,8.792297409304788e-05
5_Default_RandomForest_prediction_Heat_Dissipation_Failure,8.801356039833952e-05
75_LightGBM_GoldenFeatures_prediction_No_Failure,9.077720327897026e-05
46_ExtraTrees_prediction_Power_Failure,9.294960304420674e-05
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,9.540785088455878e-05
76_LightGBM_GoldenFeatures_prediction_No_Failure,9.713700493517025e-05
Tool_Wear_ratio_Torque,9.907361159079975e-05
50_ExtraTrees_prediction_Tool_Wear_Failure,0.00010422389456539449
56_NeuralNetwork_prediction_Tool_Wear_Failure,0.0001054126893156579
46_ExtraTrees_prediction_Overstrain_Failure,0.00011851616230257184
55_NeuralNetwork_prediction_Overstrain_Failure,0.00011894122581736638
37_RandomForest_prediction_Overstrain_Failure,0.0001201993847492755
5_Default_RandomForest_prediction_Overstrain_Failure,0.00012611446355464406
35_RandomForest_prediction_No_Failure,0.0001281295745586872
32_CatBoost_prediction_Power_Failure,0.00013398298043168776
74_Xgboost_GoldenFeatures_prediction_Overstrain_Failure,0.0001528234084712074
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_Overstrain_Failure,0.00015593364314576698
58_NeuralNetwork_prediction_Power_Failure,0.0001589261928637828
74_Xgboost_GoldenFeatures_prediction_Heat_Dissipation_Failure,0.0001629366941154564
60_NeuralNetwork_prediction_No_Failure,0.00016518493335508644
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.00016896080989530355
54_NeuralNetwork_prediction_Overstrain_Failure,0.00017603164845482328
58_NeuralNetwork_prediction_Tool_Wear_Failure,0.0001818473537960455
56_NeuralNetwork_prediction_Heat_Dissipation_Failure,0.00020761895085823212
58_NeuralNetwork_prediction_Overstrain_Failure,0.0002164474539437772
54_NeuralNetwork_prediction_No_Failure,0.00022190366185523557
50_ExtraTrees_prediction_No_Failure,0.00023287790796811398
35_RandomForest_prediction_Tool_Wear_Failure,0.00027958355432624454
76_LightGBM_GoldenFeatures_prediction_Power_Failure,0.00028893253601729033
22_LightGBM_prediction_No_Failure,0.0003020939661964525
38_RandomForest_prediction_Tool_Wear_Failure,0.00035665954440458337
22_LightGBM_prediction_Tool_Wear_Failure,0.0003590957493818589
